image_path,yellow_pct,dark_pct
../data/raw/banana_set_large\20230213_075309_jpg.rf.954fbf37756f489a378005049fb9fe10.jpg,21.5,16.1
../data/raw/banana_set_large\20230213_075316_jpg.rf.98cf413c9667c366d3256de7f48f4395.jpg,19.1,16.5
../data/raw/banana_set_large\20230213_075317_jpg.rf.60fae925acf79e6c69f1dcc7c53c4d4c.jpg,33.2,14.5
../data/raw/banana_set_large\20230213_075322_jpg.rf.8d2412923e2c30b5f56eaf67feb9f1ba.jpg,21.5,6.0
../data/raw/banana_set_large\20230213_075331_jpg.rf.4a7555f86e26bb7c79fdf34ac32159ef.jpg,30.2,2.1
../data/raw/banana_set_large\20230213_075340_jpg.rf.f869c2cfa95730657aca83de72bbebc1.jpg,35.1,11.7
../data/raw/banana_set_large\20230213_075348_jpg.rf.0f684d54d546a83bdcc2b61f28211f95.jpg,35.1,12.4
../data/raw/banana_set_large\20230213_075348_jpg.rf.1d4702328f1b29dd68be76b75ba9d83f.jpg,19.3,5.9
../data/raw/banana_set_large\20230213_075406_jpg.rf.beab5215043628c9446ecb0baea7128d.jpg,10.4,10.5
../data/raw/banana_set_large\20230213_075410_jpg.rf.dab792925abc3c11d9b15116d27b925c.jpg,11.9,11.4
../data/raw/banana_set_large\20230213_075413_jpg.rf.1f649e0cf8fe192885e3d85ee1320b41.jpg,7.2,8.4
../data/raw/banana_set_large\20230213_075428_jpg.rf.8360d1912bf1020b8f287e7a76085d1c.jpg,15.7,6.1
../data/raw/banana_set_large\20230213_075429_jpg.rf.00943925ab24dfa9c17026d0d3520a8d.jpg,14.5,8.8
../data/raw/banana_set_large\20230213_075435_jpg.rf.8983d3de3a99806fbc1c7d5612f87963.jpg,13.3,10.2
../data/raw/banana_set_large\20230213_075437_jpg.rf.44936c37a7f4688a7de5989a6277b743.jpg,9.6,3.8
../data/raw/banana_set_large\20230213_075442_jpg.rf.e8043feb33aa228cf2d1a45fb695c6d2.jpg,12.1,12.1
../data/raw/banana_set_large\20230213_075444_jpg.rf.0266f895db1386c99183b34af438d5eb.jpg,13.2,7.6
../data/raw/banana_set_large\20230213_075500_jpg.rf.499d3f67c6d154c3b9790f1e59225fd0.jpg,15.0,8.0
../data/raw/banana_set_large\20230213_075503_jpg.rf.d36a3f92883680f9a039daa59806bde6.jpg,37.9,16.9
../data/raw/banana_set_large\20230213_075509_jpg.rf.f9cf5484a51a60ea6bbf6224b6089c51.jpg,28.7,26.7
../data/raw/banana_set_large\20230213_075512_jpg.rf.da4ec194d98de726a7a220b4764acd21.jpg,12.2,6.7
../data/raw/banana_set_large\20230213_075517_jpg.rf.a202703b7672f10c60c96df781197cc0.jpg,11.1,5.7
../data/raw/banana_set_large\20230213_075517_jpg.rf.aef17152e027e63bfa52f8748e980e54.jpg,34.7,17.2
../data/raw/banana_set_large\20230213_075523_jpg.rf.4d89aa0e344e96b7f745ac8848989ce7.jpg,13.7,9.9
../data/raw/banana_set_large\20230213_075528_jpg.rf.05486c52fa01330d13668c53b7bf7749.jpg,30.4,9.6
../data/raw/banana_set_large\20230213_075541_jpg.rf.02085ce15f77e1663061968cfb92de26.jpg,39.6,7.6
../data/raw/banana_set_large\20230213_075543_jpg.rf.27d4855c3c22ea69b6a373e7af6f0b5a.jpg,39.1,25.0
../data/raw/banana_set_large\20230213_075553_jpg.rf.44a785a775ea12ac2fe6fdc0e04259bf.jpg,11.5,4.6
../data/raw/banana_set_large\20230213_075617_jpg.rf.39d83c80685e5550a56ecb1f6fca21c9.jpg,30.8,10.3
../data/raw/banana_set_large\20230213_075626_jpg.rf.946dce6f1a4d3181a1555b25db488d2f.jpg,19.0,6.0
../data/raw/banana_set_large\20230213_075638_jpg.rf.71ba8ebd62400ece6fe37ed9ca98054c.jpg,33.8,6.6
../data/raw/banana_set_large\20230213_075652_jpg.rf.c22c7649b67e54689ebb56d3ab39a43c.jpg,8.9,5.8
../data/raw/banana_set_large\20230213_075702_jpg.rf.247a2625416636cd9ca8f0e5ad95fca7.jpg,19.2,15.0
../data/raw/banana_set_large\20230213_075706_jpg.rf.6e326c94c3813a80335241697ebe99e4.jpg,30.0,11.3
../data/raw/banana_set_large\20230213_075722_jpg.rf.c0696341358fc2bb6f1a72982ac76608.jpg,17.6,12.4
../data/raw/banana_set_large\20230213_075729_jpg.rf.32051d6094dd87ad18d3d7cebe7efde8.jpg,49.2,4.8
../data/raw/banana_set_large\20230213_075729_jpg.rf.f8c14c018bd8f1ceb67e7da63da82c63.jpg,55.0,16.8
../data/raw/banana_set_large\20230213_075733_jpg.rf.ea482f23de5cdd4dfb4b1eb0b33ae7c2.jpg,12.1,12.4
../data/raw/banana_set_large\20230213_075735_jpg.rf.2b247d8bd02dbdab662bc2df7b4bd835.jpg,14.5,8.5
../data/raw/banana_set_large\20230213_075741_jpg.rf.67c75c002ca84c88c5c9874260a1125b.jpg,27.7,5.4
../data/raw/banana_set_large\20230213_075741_jpg.rf.913e1be734d07cf603bb8fb7024d1cff.jpg,34.0,22.1
../data/raw/banana_set_large\20230213_075744_jpg.rf.eedb695e974c899b0da7df9ff1bbd849.jpg,15.0,10.9
../data/raw/banana_set_large\20230213_075748_jpg.rf.419c1825c6a5e0fca887b5519b7ed2d4.jpg,22.3,8.6
../data/raw/banana_set_large\20230213_075753_jpg.rf.9907c21fbcb0055700670f93e3fc8473.jpg,14.7,18.6
../data/raw/banana_set_large\20230213_075758_jpg.rf.8387743c46d7bac0966847586de84a6f.jpg,24.4,20.3
../data/raw/banana_set_large\20230213_075801_jpg.rf.fc921fbd427ccc43cc75192d1c0b7d6d.jpg,9.6,20.3
../data/raw/banana_set_large\20230213_075811_jpg.rf.29b2e778a8d95043849ad2dfc32dd873.jpg,10.3,5.6
../data/raw/banana_set_large\20230213_075815_jpg.rf.da7caa2f74211601c1bda554ca512557.jpg,13.8,23.1
../data/raw/banana_set_large\20230213_075819_jpg.rf.3a83cfa5d743f4f57e02b80a99f7d0bd.jpg,27.7,11.0
../data/raw/banana_set_large\20230213_075822_jpg.rf.e667fa8b153736b6a2ea6302718145a8.jpg,20.4,20.0
../data/raw/banana_set_large\20230213_075826_jpg.rf.ee4f55b37892715413a3b485547e9f1b.jpg,20.6,22.9
../data/raw/banana_set_large\20230213_075828_jpg.rf.d33dc3f5e1507963a22c96423d3ce14b.jpg,15.0,12.8
../data/raw/banana_set_large\20230213_075835_jpg.rf.036f05e434fcadbb71a300704389a6c7.jpg,38.7,31.1
../data/raw/banana_set_large\20230213_075836_jpg.rf.2ac7381fea05d8140337f3bcc5dd7949.jpg,23.5,18.3
../data/raw/banana_set_large\20230213_075841_jpg.rf.c1ebcc19e04000dde1e34cc5f3e441b5.jpg,19.0,15.1
